Date,Time of Ocean Activity,Ocean,"Ocean Activity (No ocean / Long board / Short board / Quick dip / Long
swim)",Daily workload (hours),"Weather (sunny, partly cloudy, cloudy) ",Weekend/weekday,"Overall mood (stressed, happy, sad, anxious, tired)",Surf conditions
1/25/2026,,yes,none,4,sunny,weekend,happy,0-2
1/26/2026,8:00:00 AM,yes,longboard,7,sunny,weekday,anxious,0-2
1/27/2026,,no,none,7,sunny,weekday,happy,0-2
1/28/2026,11:00:00 AM,yes,quick dip,9,sunny,weekday,anxious,Flat
1/29/2026,,no,none,8,sunny,weekday,anxious,>2
1/30/2026,,no,none,6,sunny,weekday,anxious,0-2
1/31/2026,4:00:00 PM,yes,longboard,0,sunny,weekend,happy,0-2
2/1/2026,5:00:00 PM,yes,longboard,0,sunny,weekend,tired,2-3
2/2/2026,,no,none,3,sunny,weekday,tired,2-3
2/3/2026,2:00:00 PM,yes,longboard,3,sunny,weekday,happy,2-3
2/4/2026,,no,none,3,sunny,weekday,happy,0-2
2/5/2026,,no,none,7,Cloudy ,weekday,anxious,1-2
2/6/2026,3:00:00 PM,yes,shortboard,3,partly cloudy ,weekday,anxious,6
2/7/2026,10:00:00 AM,yes,shortboard,3,partly cloudy ,weekend,tired,5
2/8/2026,12:00:00 PM,yes,quick dip,3,sunny,weekend,happy,3-4
2/9/2026,,no,none,4,Cloudy ,weekday,happy,3
2/10/2026,,no,none,5,Cloudy ,weekday,tired,2-3
2/11/2026,,no,none,6,partly cloudy ,weekday,tired,2
2/12/2026,,no,none,8,sunny,weekday,anxious,2
2/13/2026,,no,none,4,partly cloudy ,weekday,happy,2
2/14/2026,,no,none,3,Cloudy ,weekend,tired,1
2/15/2026,10:00:00 AM,yes,longboard,2,Cloudy ,weekend,happy,2
2/16/2026,,no,none,3,Cloudy ,weekday,tired,3
2/17/2026,,no,none,7,partly cloudy ,weekday,happy,2
2/18/2026,,no,none,6,Cloudy ,weekday,happy,2
2/19/2026,,no,none,7,partly cloudy ,weekday,anxious,3
2/20/2026,,no,none,3,sunny,weekday,happy,2
2/21/2026,,no,none,0,sunny,weekend,happy,2
2/22/2026,,yes,longboard,0,sunny,weekend,tired,1-2
2/23/2026,,no,none,4,sunny,weekday,happy,2
2/24/2026,,no,none,7,sunny,weekday,tired,1
2/25/2026,8:30:00 AM,yes,quick dip,9,sunny,weekday,happy,1
2/26/2026,,no,none,7,sunny,weekday,anxious,1
2/27/2026,,no,none,5,sunny,weekday,tired,1
2/28/2026,,no,none,0,sunny,weekend,happy,2
3/1/2026,,no,none,0,sunny,weekend,happy,2
3/2/2026,2:00:00 PM,yes,quick dip,1,sunny,weekday,happy,2
3/3/2026,,none,none,3,partly cloudy ,weekday,anxious,1
3/4/2026,,none,none,9,partly cloudy ,weekday,anxious,1